                          2016-07-24 00:53:47.921503
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment08/SBSBPP500_run8.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
  - Solution Number  8178
  - Solution Number  8336
  - Solution Number  8366
  - Solution Number  8492
  - Solution Number  8574
  - Solution Number  8754
  - Solution Number  8965
  - Solution Number  9144
  - Solution Number  9225
  - Solution Number  9459
  - Solution Number  9743
  - Solution Number  9793
  - Solution Number  10181
  - Solution Number  10392
  - Solution Number  10626
  - Solution Number  10680
  - Solution Number  10707
  - Solution Number  11045
  - Solution Number  11093
  - Solution Number  11485
  - Solution Number  11565
  - Solution Number  11591
  - Solution Number  11747
  - Solution Number  11825
  - Solution Number  11848
  - Solution Number  12007
  - Solution Number  12734
  - Solution Number  12963
  - Solution Number  12995
  - Solution Number  13328
  - Solution Number  13435
  - Solution Number  13567
  - Solution Number  13592
  - Solution Number  13697
  - Solution Number  13827
  - Solution Number  13853
  - Solution Number  13877
  - Solution Number  14267
  - Solution Number  14320
  - Solution Number  14373


*******************************************************************************
                          2016-07-24 02:41:23.710487
